species,lat,lon
Ara ambiguus,10.571319,-83.519517
Ara ambiguus,10.571319,-83.519517
Ara ambiguus,10.571319,-83.519517
Ara ambiguus,10.584467,-83.526981
Ara ambiguus,10.593861,-83.529325
Ara ambiguus,10.571319,-83.519517
Ara ambiguus,10.584467,-83.526981
Ara ambiguus,10.584467,-83.526981
Ara ambiguus,10.584467,-83.526981
Ara ambiguus,10.593861,-83.529325
Amazona viridigenalis,10.547022,-83.504903
Amazona auropalliata,10.3647,-85.436037
Sicydium adelum,9.728,-83.033501
Astyanax anai,9.5618,-82.890701
Astyanax anai,9.6276,-82.660202
Bothrops lanceolatus,8.65,-82.9333
Ateles geoffroyi,8.566475,-83.565591
Amazona auropalliata,11.003853,-85.630807
Chelonia mydas,11.043272,-85.652271
Chelonia mydas,10.272048,-83.351989
Ateles geoffroyi,10.386121,-83.455422
Ateles geoffroyi,8.519978,-83.564529
Amazilia boucardi,9.05,-83.61667
Amazilia boucardi,9.78735,-84.63534
Cephalopterus glabricollis,10,-84
Amazilia boucardi,9.78735,-84.63534
Amazilia boucardi,9.05,-83.61667
Tomicodon abuelorum,10.06667,-84.96667
Pterobrycon myrnae,8.71,-83.51
Rhincodon typus,8.70527,-83.8818
Carcharhinus longimanus,9.78333,-84.9
Cephalopterus glabricollis,10.175308,-84.239685
Cephalopterus glabricollis,10.431166,-84.00353
Cephalopterus glabricollis,10.363766,-84.79035
Cephalopterus glabricollis,10.431166,-84.00353
Cephalopterus glabricollis,10.28173,-84.04489
Cephalopterus glabricollis,10.41562,-84.12078
Cephalopterus glabricollis,10.363766,-84.79035
Cephalopterus glabricollis,10.363766,-84.79035
Cephalopterus glabricollis,10.431166,-84.00353
Cephalopterus glabricollis,10.431166,-84.00353
Cephalopterus glabricollis,10.431166,-84.00353
Cephalopterus glabricollis,10.302581,-84.03424
Cephalopterus glabricollis,10.431166,-84.00353
Cephalopterus glabricollis,10.336536,-84.719696
Amazilia boucardi,9.779773,-84.62634
Amazilia boucardi,10.14134,-85.04276
Amazilia boucardi,9.767111,-84.625145
Amazilia boucardi,9.39652,-84.15875
Amazilia boucardi,10.034443,-84.9099
Amazilia boucardi,9.461931,-84.2157
Amazilia boucardi,10.14134,-85.04276
Amazilia boucardi,8.52111,-83.39991
Amazilia boucardi,9.797225,-84.63768
Amazilia boucardi,9.78299,-84.618416
Amazilia boucardi,10.067826,-84.965256
Amazilia boucardi,9.779773,-84.62634
Amazilia boucardi,9.797225,-84.63768
Amazilia boucardi,8.689055,-83.47608
Amazilia boucardi,8.865989,-83.46667
Amazilia boucardi,8.865989,-83.46667
Amazilia boucardi,8.535689,-83.3014
Amazilia boucardi,8.52111,-83.39991
Amazilia boucardi,10.14134,-85.04276
Amazilia boucardi,9.78299,-84.618416
Amazilia boucardi,9.797225,-84.63768
Amazilia boucardi,9.797225,-84.63768
Amazilia boucardi,9.797225,-84.63768
Amazilia boucardi,8.52111,-83.39991
Amazilia boucardi,9.797225,-84.63768
Amazilia boucardi,8.689055,-83.47608
Amazilia boucardi,8.575293,-83.35963
Amazilia boucardi,9.797225,-84.63768
Amazilia boucardi,9.384527,-84.14306
Amazilia boucardi,9.779622,-84.626465
Amazilia boucardi,8.575293,-83.35963
Amazilia boucardi,9.773031,-84.6296
Amazilia boucardi,9.78266,-84.629875
Amazilia boucardi,9.78266,-84.629875
Amazilia boucardi,9.773031,-84.6296
Amazilia boucardi,9.800148,-84.60559
Amazilia boucardi,9.756832,-84.61199
Amazilia boucardi,8.575293,-83.35963
Amazilia boucardi,9.779773,-84.62634
Amazilia boucardi,9.814581,-84.582535
Amazilia boucardi,9.461931,-84.2157
Amazilia boucardi,9.797225,-84.63768
Amazilia boucardi,8.625845,-83.43942
Amazilia boucardi,8.575293,-83.35963
Amazilia boucardi,9.779773,-84.62634
Amazilia boucardi,8.575293,-83.35963
Amazilia boucardi,9.800148,-84.60559
Amazilia boucardi,10.365737,-85.32659
Amazilia boucardi,10.365737,-85.32659
Amazilia boucardi,9.390953,-84.147194
Amazilia boucardi,8.639021,-83.16215
Sylvilagus brasiliensis,9.1478354,-83.3202047
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
Chelonia mydas,10.4685428,-83.4680563
